topology_workers,topology_worker_cores,topology_worker_mem_gb,profile,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,median_duration_s,exit_code
4,2,4,large,1,4g,4,2,3g,0.3,0.6,false,true,128k,16m,true,48m,snappy,128,true,32.666,0
4,2,4,large,2,2g,4,1,2g,0.8,0.5,false,true,48k,12m,false,48m,lz4,192,false,25.311,0
4,2,4,large,2,4g,2,4,1g,0.4,0.4,true,true,80k,10m,true,72m,snappy,128,true,30.968,0
4,2,4,large,1,2g,3,3,3g,0.8,0.3,true,true,112k,10m,false,56m,lz4,256,false,36.4155,0
4,2,4,large,1,3g,3,1,3g,0.5,0.3,false,true,112k,18m,true,64m,lz4,192,true,33.793,0
4,2,4,large,1,1g,4,4,1g,0.7,0.3,true,false,96k,10m,true,72m,snappy,160,false,34.106,0
4,2,4,large,2,2g,3,1,4g,0.5,0.8,false,true,48k,8m,false,56m,snappy,224,false,25.944,0
4,2,4,large,2,3g,3,1,1g,0.5,0.7,true,false,64k,20m,false,48m,snappy,160,true,27.8185,0
4,2,4,large,1,1g,3,3,1g,0.3,0.7,true,true,112k,16m,false,80m,lz4,128,true,34.874,0
4,2,4,large,1,3g,2,4,3g,0.7,0.8,false,true,112k,24m,true,80m,snappy,224,true,32.153,0
4,2,4,large,2,1g,3,4,3g,0.3,0.6,false,false,128k,20m,false,88m,snappy,256,false,25.7135,0
4,2,4,large,1,1g,3,4,4g,0.4,0.6,false,false,112k,22m,true,88m,snappy,224,false,33.389,0
4,2,4,large,2,2g,3,3,4g,0.3,0.4,true,false,64k,22m,true,80m,lz4,160,false,26.306,0
4,2,4,large,1,4g,4,1,2g,0.4,0.5,false,false,64k,4m,true,88m,lz4,128,false,31.8015,0
4,2,4,large,1,4g,3,3,4g,0.3,0.8,false,true,96k,18m,true,96m,snappy,128,false,33.2525,0
4,2,4,large,1,4g,2,2,1g,0.8,0.7,false,false,80k,22m,false,96m,snappy,128,false,32.6335,0
4,2,4,large,1,1g,4,4,1g,0.5,0.5,true,false,64k,16m,true,80m,snappy,256,true,35.012,0
4,2,4,large,2,3g,4,4,4g,0.3,0.8,true,false,80k,20m,false,72m,snappy,128,false,27.8845,0
4,2,4,large,2,1g,4,1,4g,0.8,0.7,true,false,128k,10m,true,72m,lz4,256,true,27.1135,0
4,2,4,large,2,4g,2,1,2g,0.4,0.8,false,false,64k,10m,true,48m,lz4,192,false,29.1335,0
4,2,4,large,2,3g,4,4,1g,0.7,0.4,false,false,112k,22m,false,72m,lz4,128,true,27.4195,0
4,2,4,large,2,2g,4,3,4g,0.3,0.6,false,false,128k,22m,false,80m,lz4,128,false,26.662,0
4,2,4,large,2,2g,4,2,1g,0.6,0.7,false,false,64k,24m,false,56m,snappy,192,false,26.1365,0
4,2,4,large,1,4g,2,2,1g,0.3,0.8,false,false,80k,18m,true,48m,snappy,128,true,32.566,0
4,2,4,large,2,2g,3,1,2g,0.4,0.5,false,false,32k,18m,false,64m,lz4,256,true,26.5415,0
4,2,4,large,1,3g,2,1,2g,0.6,0.7,true,true,128k,20m,false,48m,lz4,192,false,32.4415,0
4,2,4,large,1,2g,3,2,4g,0.6,0.7,true,false,32k,14m,false,88m,lz4,192,false,35.5915,0
4,2,4,large,2,2g,2,1,2g,0.4,0.3,false,false,48k,16m,false,80m,snappy,128,false,26.618,0
4,2,4,large,1,1g,4,3,4g,0.6,0.6,false,false,64k,6m,true,72m,snappy,192,true,34.582,0
4,2,4,large,2,3g,3,1,3g,0.8,0.3,false,false,80k,14m,false,64m,snappy,256,true,28.066,0
4,2,4,large,1,4g,4,1,4g,0.6,0.6,true,true,128k,12m,true,80m,snappy,160,true,33.337,0
4,2,4,large,2,4g,2,2,1g,0.3,0.3,false,true,80k,20m,false,80m,lz4,128,false,28.3145,0
4,2,4,large,1,4g,4,2,1g,0.7,0.5,true,true,96k,20m,true,80m,lz4,256,true,32.6535,0
4,2,4,large,1,1g,3,1,3g,0.5,0.6,true,true,112k,22m,true,88m,snappy,128,false,34.207,0
4,2,4,large,1,1g,3,1,3g,0.5,0.4,true,false,80k,6m,false,80m,snappy,160,false,34.3685,0
4,2,4,large,1,3g,2,1,4g,0.8,0.7,true,true,48k,18m,true,48m,lz4,224,false,32.4655,0
4,2,4,large,1,3g,2,4,4g,0.5,0.6,true,false,32k,6m,false,56m,snappy,128,true,31.8185,0
4,2,4,large,1,2g,2,2,3g,0.3,0.6,true,true,128k,14m,true,72m,lz4,160,false,34.7465,0
4,2,4,large,2,1g,2,1,3g,0.6,0.4,true,true,96k,10m,true,88m,lz4,160,false,26.022,0
4,2,4,large,1,3g,2,3,2g,0.8,0.7,true,false,32k,12m,true,88m,lz4,256,false,34.172,0
4,2,4,large,1,4g,4,4,3g,0.6,0.6,true,true,64k,18m,false,64m,snappy,224,true,35.379,0
4,2,4,large,2,3g,2,2,1g,0.3,0.5,false,false,96k,6m,false,80m,snappy,128,true,30.77,0
4,2,4,large,2,3g,2,2,1g,0.7,0.4,false,false,80k,20m,false,64m,lz4,128,false,28.9115,0
