timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
3431,16.22032138758005,4,2,4,0.6,0.6,224,4096.0,4096.0,96.0,12.0,48.0,1,1,1,0,snappy
3432,16.22032138758005,4,2,4,0.6,0.6,224,4096.0,4096.0,96.0,12.0,48.0,1,1,0,0,snappy
3433,16.231508786677868,4,2,4,0.6,0.6,224,5120.0,4096.0,96.0,12.0,48.0,1,1,0,0,snappy
3434,16.231508786677868,4,2,4,0.6,0.6,224,5120.0,4096.0,96.0,12.0,48.0,1,1,0,0,snappy
3435,16.163013274242775,4,2,4,0.6,0.6,224,5120.0,4096.0,96.0,14.0,48.0,1,1,0,0,snappy
3436,16.16513457216009,4,2,4,0.6,0.6,224,5120.0,3072.0,96.0,14.0,48.0,1,1,0,0,snappy
3437,16.16513457216009,4,2,4,0.6,0.6,224,5120.0,3072.0,96.0,14.0,48.0,1,0,0,0,snappy
3438,16.081988605633047,4,2,3,0.6,0.6,224,5120.0,3072.0,96.0,14.0,48.0,1,0,0,0,snappy
3439,16.09752572684517,4,2,3,0.6,0.7,224,5120.0,3072.0,96.0,14.0,48.0,1,0,0,0,snappy
3440,16.086338327747352,4,2,3,0.6,0.7,224,4096.0,3072.0,96.0,14.0,48.0,1,0,0,0,snappy
3441,16.016429395084078,4,2,3,0.6,0.7,224,4096.0,3072.0,96.0,14.0,48.0,0,0,0,0,snappy
3442,16.016429395084078,4,2,3,0.6,0.7,224,4096.0,3072.0,96.0,14.0,48.0,0,0,1,0,snappy
3443,16.709801502920943,4,2,3,0.6,0.8,224,4096.0,3072.0,96.0,14.0,48.0,0,0,1,0,snappy
3444,16.709801502920943,4,2,3,0.6,0.8,224,4096.0,3072.0,96.0,14.0,48.0,0,0,1,0,snappy
3445,16.709801502920943,4,2,3,0.6,0.8,224,4096.0,3072.0,96.0,14.0,48.0,0,0,1,0,snappy
3446,16.016429395084078,4,2,3,0.6,0.7,224,4096.0,3072.0,96.0,14.0,48.0,0,0,1,0,snappy
3447,17.2782731100149,3,2,3,0.6,0.7,224,4096.0,3072.0,96.0,14.0,48.0,0,0,1,0,snappy
